INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.147    0.000    0.155    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/linalg/linalg.py:327(solve)
     3004    0.083    0.000    0.153    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/doccer.py:179(indentcount_lines)
     1502    0.142    0.000    0.143    0.000 {built-in method builtins.exec}
      500    0.067    0.000    0.135    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:42(sample)
     4000    0.111    0.000    0.112    0.000 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
        1    0.000    0.000    0.112    0.112 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:133(predict)
     1500    0.007    0.000    0.107    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:520(argsreduce)
    96128    0.096    0.000    0.096    0.000 {method 'splitlines' of 'str' objects}
        1    0.001    0.001    0.093    0.093 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/datasets/base.py:489(load_digits)
     1500    0.013    0.000    0.092    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:545(<listcomp>)
        1    0.000    0.000    0.091    0.091 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:809(loadtxt)
        2    0.006    0.003    0.086    0.043 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:1047(read_data)
     1502    0.005    0.000    0.085    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:587(__init__)
    96128    0.085    0.000    0.085    0.000 {method 'expandtabs' of 'str' objects}
     4506    0.031    0.000    0.083    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2117(_signature_from_function)
     3000    0.002    0.000    0.079    0.000 <__array_function__ internals>:2(extract)
